Category,Job Title,Company,Salary Range,Required Skills,Experience Level,Work Type,Country,Publication Date
All others,Entry-Level Crypto Market Specialist,ELEMENTAL TERRA CAPITAL LTD,$48k - $60k,"crypto, research, market research, analytics, trading, onboarding",Entry,Remote,Worldwide,2026-03-06T14:44:46
AI / ML,AI Internet Rater,Welo Data,$14.5/hour,"AI/ML, project management, insurance",Senior,Remote,USA,2026-03-04T04:30:58
Design,Senior Product Designer,XXIX,$80k - $120k,"open source, AI/ML, product strategy, hardware, IoT, user flows, digital products",Entry,Remote,Worldwide,2026-03-03T19:35:38
Software Development,Senior Full-stack React Developer,Lemon.io,Not specified,"android, AWS, azure, C++, data science, fullstack, golang, ios, java, javascript, node.js, php, python, react, react js, shopify, video, blockchain, AI/ML, rust, unity, spring, data analysis, solidity, flask, Typescript , angular , GCP, data engineering, Symfony, startup, marketplace, next.js",Senior,Remote,"Americas, Europe, Asia, Oceania",2026-03-03T16:33:57
Software Development,Shopify Engineer,Nebulab,€30k -  €60k,"admin, api, ecommerce, graphql, javascript, react, ruby/rails, shopify, travel",Senior,Remote,Worldwide,2026-03-03T16:29:47
Marketing,Senior Amazon Brand Manager,GNO Partners,$220k-$300k OTE,"amazon, backend, project management, PPC",Entry,Remote,Worldwide,2026-02-26T07:45:46
DevOps / Sysadmin,Red Team Specialist (Offensive Security),Lumitekno Kreasi Global,$65K - $80K,"security, SOLID, testing, shell, CMS",Senior,Remote,Worldwide,2026-02-23T10:52:54
Project Management,Order Management and Operations Manager,Exaware,$50K-$60K,"excel, documentation, CRM, hardware, business operations, microsoft office, outlook",Mid,Remote,USA,2026-02-19T13:06:05
AI / ML,AI-Native Cloud Infrastructure Generalist (m/f/d),shopware AG,Not specified,"cloud, ecommerce, fullstack, kubernetes, security, AI/ML, documentation, hardware, onboarding, startup, serverless, infrastructure, GPU",Senior,Remote,"Europe, Germany",2026-02-19T13:03:51
DevOps / Sysadmin,Senior DevOps Engineer,Marketerx,$130k - $150k,"AWS, cloud, docker, kubernetes, security, SRE, AI/ML, CI/CD, terraform, startup, ansible, infrastructure",Senior,Remote,USA,2026-02-18T14:31:29
Customer Service,Client Support Specialist,Clipboard Health,Not specified,"documentation, zendesk, account management, startup, Linux/Unix",Mid,Remote,"Europe, Canada, South Africa, Philippines, Jamaica",2026-02-16T14:05:25
Software Development,Senior Independent AI Engineer / Architect,A.Team,$120 - $170 /hour,"go, UI/UX, wordpress, chat, apple, testing, catalyst",Mid,Remote,"Americas, Europe, Israel",2026-02-16T10:16:38
Software Development,Senior Independent Software Developer,A.Team,$90 - $150 /hour,"go, wordpress, chat, apple, testing, catalyst",Mid,Remote,"Americas, Europe, Israel",2026-02-16T10:16:29
Software Development,Tech Lead Full-Stack Rails Engineer,Mitre Media,$170k - $200k,"api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture",Mid,Remote,"USA, Canada, USA timezones",2026-02-14T20:46:44
Software Development,Tech Lead Databricks Data Engineer,Mitre Media,$160k - $180k,"apache, api, AWS, big data, cloud, java, python, scala, sql, AI/ML, documentation, CAD, CI/CD, analytics, advertising, spark, tableau, GCP, ETL, data engineering, SOLID, fintech, Micro services, backbone, github",Entry,Remote,"USA, Canada, USA timezones",2026-02-14T20:46:35
